Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,IsPersonType,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
0123h0000006kXsAAI,Refrigerants,Refrigerants,sustain_app,Refrigerant global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:07.000+0000,2020-09-09T17:01:07.000+0000
0123h0000006kXtAAI,Air Travel,Air_Travel,sustain_app,Emissions factors associated with air travels,,sustain_app__EmissionFactorScope3__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,2020-09-09T17:01:08.000+0000
0123h0000006kXuAAI,Ground Travel,Ground_Travel,sustain_app,,,sustain_app__EmissionFactorScope3__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,2020-09-09T17:01:08.000+0000
0123h0000006kXvAAI,Hotel Stay Impact,Hotel,sustain_app,Emission impact as a result of hotel stays.,,sustain_app__EmissionFactorScope3__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,2020-09-09T17:01:08.000+0000
0123h0000006kXwAAI,Rental Car Fuel Efficiency,Rental_Car_Fuel_Efficiency,sustain_app,Emission factors associated with Rental Cars,,sustain_app__EmissionFactorScope3__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:08.000+0000,2020-09-09T17:01:08.000+0000
0123h0000006kXxAAI,Scope 3 Travel,Travel,sustain_app,Emissions factors associated with business travel activities,,sustain_app__EmissionFactorScope3__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:09.000+0000,0053h000002ff5cAAA,2020-09-09T17:01:09.000+0000,2020-09-09T17:01:09.000+0000
0123h0000006kXyAAI,Air Travel,Air_Travel,sustain_app,Use for company business travel on commercial aircraft,,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:09.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kXzAAI,Data Center Facility,Data_Center_Facility,sustain_app,Use for data centers or facilities dominated by IT use,,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:10.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY0AAI,Fleet Vehicle,Fleet_Vehicle,sustain_app,Use for vehicles that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:11.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY1AAI,Ground Travel,Ground_Travel,sustain_app,"Use for company business travel in personal cars, trains, taxis and limousines.",,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:11.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY2AAI,Hotel Stay,Hotel_Stay,sustain_app,Use for hotel stays associated with company business travel,,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:13.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY3AAI,Private Jet,Private_Jet,sustain_app,Use for travel on aircraft that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:13.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY4AAI,Commercial Building,Real_Estate_Facility,sustain_app,Use as a generic category for buildings,,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:14.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h0000006kY5AAI,Rental Car,Rental_Car,sustain_app,Use for company business travel in rented cars,,sustain_app__EnergyConsumption__c,1,,0053h000002ff5cAAA,2020-09-09T17:01:15.000+0000,0053h000002ff5cAAA,2020-09-09T17:02:37.000+0000,2020-09-09T17:02:37.000+0000
0123h000000k8OHAAY,Company,Company,,A company we do business with,,Account,1,,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,2020-06-16T17:58:07.000+0000
0123h000000k8OIAAY,Person Account,PersonAccount,,,,Account,1,1,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,2020-06-16T17:58:07.000+0000
0123h000000k8OJAAY,General Inquiry,General_Inquiry,,General customer questions and inquiry,0193h000000Y1bAAAS,Case,1,,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,2020-06-16T17:58:07.000+0000
0123h000000k8OSAAY,Billing Inquiry,Billing_Inquiry,,Customer billing questions.,0193h000000Y1bBAAS,Case,1,,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,2020-06-16T17:58:07.000+0000
0123h000000k8OTAAY,Technical Issue,Technical_Issue,,Technical investigations and troubleshooting,0193h000000Y1bCAAS,Case,1,,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,0053h000002ff5cAAA,2020-06-16T17:58:07.000+0000,2020-06-16T17:58:07.000+0000
