Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
01254000002W7DnAAK,Data Center Facility,Data_Center_Facility,sustain_app,Use for data centers or facilities dominated by IT use,,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:06.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DoAAK,Fleet Vehicle,Fleet_Vehicle,sustain_app,Use for vehicles that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:07.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DpAAK,Ground Travel,Ground_Travel,sustain_app,"Use for company business travel in personal cars, trains, taxis and limousines.",,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:07.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DqAAK,Hotel Stay,Hotel_Stay,sustain_app,Use for hotel stays associated with company business travel,,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:08.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DrAAK,Private Jet,Private_Jet,sustain_app,Use for travel on aircraft that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:09.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DsAAK,Commercial Building,Real_Estate_Facility,sustain_app,Use as a generic category for buildings,,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:10.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7DtAAK,Rental Car,Rental_Car,sustain_app,Use for company business travel in rented cars,,sustain_app__EnergyConsumption__c,1,00554000006CnqaAAC,2020-11-05T19:52:11.000+0000,00554000006CnqaAAC,2020-11-05T19:53:28.000+0000,2020-11-05T19:53:28.000+0000
01254000002W7aLAAS,Supplier,sustain_Supplier,,Supplier for Sustainability Cloud,,Account,1,00554000006CnqaAAC,2020-11-05T20:50:58.000+0000,00554000006CnqaAAC,2020-11-05T20:52:06.000+0000,2020-11-05T20:52:06.000+0000
01254000002W7aQAAS,Standard Account,Standard_Account,,,,Account,1,00554000006CnqaAAC,2020-11-05T20:51:31.000+0000,00554000006CnqaAAC,2020-11-05T20:51:31.000+0000,2020-11-05T20:51:31.000+0000
01254000002WLjwAAG,EEIO,EEIO,,,,sustain_app__EmissionFactorScope3__c,1,00554000006CnqaAAC,2020-11-09T19:49:13.000+0000,00554000006CnqaAAC,2020-11-09T19:49:13.000+0000,2020-11-09T19:49:13.000+0000
